iter	Passed	Remaining
0	1	144
1	2	137
2	4	134
3	5	125
4	6	124
5	7	122
6	8	114
7	9	107
8	10	106
9	11	106
10	13	106
11	14	106
12	15	106
13	17	105
14	18	104
15	19	104
16	21	103
17	22	102
18	23	101
19	25	100
20	26	97
21	26	94
22	27	91
23	28	89
24	30	91
25	32	91
26	33	90
27	34	87
28	35	86
29	36	86
30	38	85
31	39	83
32	39	80
33	40	78
34	41	76
35	42	74
36	42	72
37	43	70
38	44	68
39	44	66
40	45	65
41	45	62
42	46	61
43	46	59
44	47	58
45	48	56
46	49	55
47	49	54
48	50	52
49	51	51
50	51	49
51	52	48
52	53	47
53	53	45
54	54	44
55	55	43
56	56	42
57	56	41
58	57	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	64	25
72	65	24
73	66	23
74	66	22
75	67	21
76	68	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	75	9
89	76	8
90	76	7
91	77	6
92	77	5
93	78	5
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	81	0
