iter	Passed	Remaining
0	135	135464
1	138	69130
2	143	47661
3	146	36355
4	148	29615
5	153	25351
6	155	22049
7	158	19607
8	162	17873
9	165	16345
10	168	15151
11	171	14098
12	174	13212
13	176	12442
14	179	11770
15	182	11251
16	185	10747
17	188	10273
18	190	9852
19	195	9575
20	198	9263
21	203	9060
22	206	8782
23	212	8637
24	215	8423
25	218	8170
26	219	7920
27	221	7700
28	225	7557
29	227	7364
30	229	7168
31	230	6972
32	231	6793
33	233	6620
34	234	6458
35	235	6312
36	236	6167
37	240	6087
38	242	5967
39	243	5837
40	244	5715
41	245	5602
42	246	5489
43	247	5381
44	248	5277
45	249	5183
46	251	5091
47	252	5000
48	254	4941
49	255	4859
50	256	4778
51	257	4699
52	258	4624
53	260	4556
54	261	4489
55	262	4423
56	263	4357
57	264	4294
58	265	4233
59	266	4173
60	269	4141
61	270	4089
62	271	4035
63	272	3983
64	273	3933
65	275	3892
66	276	3850
67	277	3804
68	278	3758
69	279	3713
70	280	3671
71	281	3630
72	284	3612
73	285	3574
74	286	3536
75	287	3498
76	288	3461
77	289	3424
78	290	3389
79	291	3354
80	293	3325
81	294	3297
82	295	3265
83	296	3234
84	299	3219
85	300	3192
86	301	3163
87	302	3134
88	303	3107
89	304	3079
90	305	3054
91	306	3028
92	307	3003
93	308	2976
94	309	2951
95	310	2928
96	314	2927
97	315	2906
98	316	2883
99	318	2869
100	320	2853
101	321	2831
102	322	2809
103	324	2794
104	325	2773
105	326	2755
106	328	2745
107	330	2732
108	331	2712
109	333	2694
110	334	2675
111	335	2657
112	336	2643
113	337	2624
114	338	2608
115	339	2590
116	341	2573
117	342	2557
118	344	2552
119	346	2540
120	347	2524
121	348	2508
122	350	2497
123	351	2482
124	352	2466
125	353	2451
126	354	2436
127	356	2425
128	357	2411
129	358	2400
130	360	2393
131	363	2387
132	364	2376
133	365	2362
134	366	2348
135	368	2338
136	369	2327
137	370	2316
138	371	2303
139	374	2302
140	376	2292
141	377	2279
142	380	2281
143	383	2281
144	386	2281
145	391	2290
146	393	2283
147	395	2276
148	396	2264
149	398	2255
150	399	2244
151	400	2233
152	401	2222
153	403	2219
154	404	2205
155	405	2195
156	406	2184
157	407	2173
158	408	2162
159	410	2154
160	411	2144
161	412	2133
162	413	2124
163	414	2114
164	416	2109
165	418	2104
166	419	2094
167	420	2081
168	421	2071
169	422	2064
170	424	2056
171	425	2046
172	426	2037
173	427	2028
174	428	2021
175	429	2012
176	430	2003
177	432	1998
178	434	1993
179	435	1984
180	436	1976
181	437	1968
182	438	1959
183	440	1952
184	441	1944
185	442	1937
186	443	1928
187	444	1921
188	446	1916
189	448	1912
190	449	1905
191	450	1897
192	452	1892
193	453	1884
194	454	1878
195	456	1870
196	457	1862
197	458	1856
198	459	1848
199	460	1841
200	462	1839
201	464	1833
202	465	1826
203	466	1819
204	467	1812
205	468	1804
206	469	1800
207	471	1794
208	472	1788
209	473	1781
210	474	1774
211	476	1772
212	478	1767
213	479	1761
214	480	1754
215	482	1750
216	483	1744
217	484	1739
218	485	1732
219	486	1726
220	488	1721
221	489	1714
222	491	1711
223	492	1706
224	494	1701
225	495	1695
226	496	1690
227	497	1685
228	498	1679
229	499	1673
230	500	1667
231	501	1661
232	502	1655
233	503	1649
234	504	1643
235	508	1646
236	509	1640
237	510	1635
238	511	1629
239	512	1623
240	514	1618
241	515	1614
242	516	1609
243	517	1604
244	518	1599
245	519	1593
246	523	1596
247	525	1592
248	526	1587
249	527	1582
250	528	1576
251	529	1571
252	530	1566
253	531	1561
254	532	1556
255	533	1551
256	534	1545
257	537	1544
258	538	1541
259	539	1536
260	540	1530
261	541	1525
262	542	1520
263	543	1516
264	544	1511
265	546	1508
266	548	1505
267	549	1500
268	551	1499
269	552	1494
270	553	1490
271	554	1485
272	556	1480
273	557	1477
274	559	1473
275	560	1470
276	561	1466
277	563	1462
278	565	1460
279	567	1459
280	568	1455
281	570	1451
282	571	1447
283	572	1442
284	573	1437
285	574	1433
286	575	1429
287	576	1424
288	577	1420
289	578	1416
290	580	1414
291	581	1410
292	582	1406
293	583	1401
294	584	1397
295	585	1393
296	587	1389
297	588	1385
298	589	1380
299	590	1376
300	591	1372
301	592	1368
302	593	1364
303	595	1363
304	596	1359
305	597	1355
306	598	1351
307	599	1347
308	600	1343
309	601	1339
310	602	1335
311	603	1331
312	604	1327
313	606	1324
314	607	1320
315	608	1316
316	609	1313
317	611	1310
318	612	1306
319	613	1302
320	614	1299
321	615	1295
322	616	1291
323	617	1288
324	618	1284
325	619	1280
326	620	1277
327	621	1273
328	622	1269
329	624	1267
330	625	1264
331	626	1261
332	627	1257
333	628	1253
334	629	1250
335	631	1247
336	632	1243
337	633	1240
338	634	1236
339	635	1233
340	636	1229
341	637	1226
342	639	1224
343	640	1221
344	641	1218
345	642	1215
346	643	1211
347	644	1208
348	645	1204
349	646	1201
350	647	1197
351	648	1194
352	649	1191
353	650	1187
354	651	1184
355	654	1184
356	655	1180
357	656	1177
358	657	1174
359	658	1171
360	659	1167
361	660	1164
362	661	1161
363	662	1158
364	663	1154
365	664	1151
366	665	1148
367	667	1145
368	669	1144
369	670	1141
370	671	1139
371	672	1135
372	673	1132
373	674	1129
374	675	1126
375	676	1123
376	677	1120
377	678	1117
378	679	1113
379	680	1110
380	681	1107
381	684	1106
382	685	1103
383	686	1100
384	687	1097
385	688	1095
386	689	1091
387	690	1089
388	691	1086
389	692	1083
390	693	1080
391	694	1077
392	695	1074
393	696	1071
394	699	1070
395	700	1068
396	701	1065
397	702	1062
398	703	1059
399	704	1056
400	705	1054
401	706	1051
402	707	1048
403	708	1045
404	709	1042
405	710	1040
406	713	1038
407	714	1036
408	715	1033
409	716	1030
410	717	1027
411	718	1025
412	719	1022
413	720	1019
414	721	1016
415	722	1014
416	723	1011
417	724	1008
418	725	1005
419	726	1003
420	728	1001
421	729	998
422	730	996
423	731	993
424	732	990
425	733	988
426	734	985
427	737	985
428	739	983
429	740	981
430	742	979
431	743	977
432	744	975
433	745	972
434	746	970
435	747	967
436	749	965
437	750	962
438	751	960
439	752	957
440	753	955
441	755	953
442	757	952
443	758	950
444	761	950
445	763	948
446	764	945
447	765	943
448	766	941
449	768	938
450	769	936
451	770	933
452	772	932
453	773	930
454	774	928
455	775	925
456	777	923
457	778	920
458	779	918
459	780	916
460	781	913
461	782	911
462	783	908
463	784	906
464	786	904
465	788	903
466	789	900
467	790	898
468	791	896
469	792	893
470	793	891
471	794	888
472	795	886
473	796	884
474	797	881
475	799	879
476	800	877
477	802	876
478	803	873
479	804	871
480	805	869
481	806	867
482	807	864
483	808	862
484	810	860
485	811	857
486	812	855
487	813	853
488	814	851
489	815	848
490	817	847
491	818	845
492	819	842
493	820	840
494	821	838
495	823	836
496	824	834
497	825	831
498	826	829
499	827	827
500	828	825
501	829	823
502	831	821
503	832	819
504	833	817
505	834	815
506	835	812
507	837	810
508	838	808
509	839	806
510	840	804
511	841	802
512	842	800
513	844	798
514	845	796
515	848	796
516	849	793
517	850	791
518	852	789
519	853	787
520	854	785
521	855	783
522	856	781
523	857	778
524	858	776
525	860	775
526	862	773
527	863	771
528	864	769
529	865	767
530	866	765
531	867	763
532	869	761
533	870	759
534	871	757
535	872	755
536	873	753
537	876	753
538	878	751
539	880	749
540	881	747
541	882	746
542	884	744
543	885	742
544	886	740
545	888	738
546	889	736
547	892	735
548	893	733
549	894	732
550	895	730
551	897	728
552	898	726
553	899	724
554	900	722
555	902	720
556	903	718
557	906	718
558	908	716
559	909	714
560	910	712
561	911	710
562	913	708
563	914	706
564	915	704
565	916	703
566	918	701
567	919	699
568	923	699
569	924	697
570	925	695
571	926	693
572	928	691
573	929	689
574	930	687
575	931	685
576	933	684
577	934	682
578	939	683
579	941	681
580	942	679
581	943	677
582	945	675
583	946	674
584	949	673
585	955	675
586	958	674
587	970	679
588	972	678
589	975	677
590	977	676
591	979	675
592	984	675
593	988	675
594	990	674
595	992	673
596	995	671
597	999	671
598	1001	670
599	1020	680
600	1024	680
601	1027	679
602	1031	679
603	1034	678
604	1036	676
605	1038	675
606	1041	674
607	1047	675
608	1051	674
609	1053	673
610	1055	672
611	1059	671
612	1063	671
613	1067	670
614	1070	669
615	1075	670
616	1078	669
617	1079	667
618	1082	666
619	1083	664
620	1085	662
621	1086	660
622	1088	658
623	1089	656
624	1090	654
625	1091	652
626	1092	650
627	1093	648
628	1095	646
629	1097	644
630	1098	642
631	1099	640
632	1100	638
633	1103	636
634	1104	635
635	1106	633
636	1107	630
637	1108	628
638	1109	626
639	1110	624
640	1111	622
641	1112	620
642	1113	618
643	1114	616
644	1115	613
645	1117	612
646	1118	610
647	1119	608
648	1120	606
649	1121	604
650	1122	602
651	1124	599
652	1125	597
653	1126	595
654	1127	593
655	1128	591
656	1129	589
657	1130	587
658	1131	585
659	1133	584
660	1134	581
661	1135	579
662	1136	577
663	1137	575
664	1138	573
665	1139	571
666	1140	569
667	1142	567
668	1142	565
669	1143	563
670	1144	561
671	1146	559
672	1148	557
673	1149	555
674	1150	553
675	1151	551
676	1152	549
677	1153	547
678	1154	545
679	1155	543
680	1156	541
681	1157	539
682	1158	537
683	1159	535
684	1160	533
685	1162	532
686	1163	530
687	1164	528
688	1165	526
689	1166	524
690	1167	522
691	1168	520
692	1169	518
693	1170	516
694	1171	514
695	1173	512
696	1174	510
697	1175	508
698	1176	506
699	1177	504
700	1179	502
701	1180	500
702	1181	498
703	1182	497
704	1183	495
705	1184	493
706	1185	491
707	1186	489
708	1187	487
709	1188	485
710	1189	483
711	1190	481
712	1192	479
713	1193	478
